#,A,Z,Q[MeV],Egamma[MeV],Eelec[MeV],Eneutrino[MeV],tau[s]
0,50,20,4.9479,1.786980513242,1.3364010000000002,1.74438,19.404248299956556
1,51,20,6.918,2.240681,2.223312,2.4540070000000003,14.426950408889635
2,50,21,6.894699999999999,3.191990906700001,1.621771834,2.05348357,147.87624169111876
3,51,21,6.482600000000001,2.3506253212000003,1.84187872,2.2817247000000003,17.889418507023148
4,52,21,8.954,2.5666290000000007,2.8988810000000003,3.4884899999999996,11.830099335289502
5,51,22,2.4701,0.3677747899999997,0.86774364,1.2345815700000002,498.5954061312258
6,52,22,1.9653,0.11412340100000001,0.742,1.0916,147.15489417067428
7,53,22,4.97,1.5637929999999995,1.4798970000000002,1.92631,47.17612783706911
8,55,22,7.29,0.8894860000000001,2.16683,2.6214,1.8755035531556525
9,52,23,3.97648,1.4448884711999999,1.0683683254999998,1.4622412704999996,324.0004522828434
10,53,23,3.436,1.0284485999999995,1.0090356000000003,1.3985158000000002,133.56470688550024
11,54,23,7.037,3.4607289999999993,1.548905,2.0273660000000002,71.84621303627037
12,55,23,5.985,0.6891881264399999,2.392874,2.88297,9.435225567413822
13,55,24,2.6022,-0.0008780666700001216,1.100992911577,1.502085155093,302.7062734793223
14,57,24,4.961300000000001,0.4472558000000011,1.948932,2.5651122,30.44086536275713
15,56,25,3.6955,1.68365517582216,0.832427878,1.1784613007,13394.038467414774
16,57,25,2.6957000000000004,0.09635054384999996,1.0929084,1.49612496,123.20615649191747
17,58,25,6.3277,0.056883199999999995,2.8120659999999997,3.323075,4.328085122666891
18,59,25,5.1396,0.54379327,2.037520974,2.507058706000001,6.621970237680343
19,60,25,8.445,0.1938354000000011,3.847095,4.4040696,0.4039546114489098
20,61,25,7.178,0.53139581616,3.05728504,3.5796314899999997,1.0228707839902749
21,62,25,10.354,3.202711104,3.9302706999999995,0.0,0.9680483724364947
22,59,26,1.5649000000000002,1.1882685115999998,0.1174869518,0.2586840976,5545627.404694559
23,61,26,3.977699999999999,1.0829847209999994,1.229804336,1.6649109429999998,517.6389806709602
24,62,26,2.546,0.5061,0.826,1.211,98.10326278044951
25,63,26,6.216,0.27754075,2.70983406,3.2218708,8.800439749422676
26,64,26,4.823,-0.15029999999999966,2.2375,2.7358000000000002,2.8853900817779268
27,65,26,7.967,1.2449999999999997,3.0915,3.6305,1.1685829831200607
28,60,27,2.82281,2.5038430764458397,0.09640611999999998,0.22227476799999996,239983940.87908158
29,61,27,1.3239,0.039925935,0.45971448,0.7605767999999999,8564.414840733241
30,62,27,5.322,1.5998118239999999,1.6117446000000002,2.0783256000000003,133.30502177814023
31,63,27,3.661,0.10192738100000001,1.51260123,1.9616623000000002,39.5298441203576
32,64,27,7.307,0.17608161749999998,3.29427988,3.7956950000000003,0.4328085122666889
33,65,27,5.940600000000001,0.045093000000000494,2.688383,3.2071240000000003,1.6735262474311976
34,66,27,9.598,2.1623200000000002,3.4422800000000002,3.9934000000000003,0.28853900817779277
35,67,27,8.421,0.5303499999999994,3.66615,4.2245,0.6131453923778094
36,68,27,11.821,3.1554449999999994,4.028805,4.63675,0.2885390081777927
37,65,28,2.1379,0.5578158900000001,0.6278893000000001,0.95219481,13075.145155576676
38,67,28,3.577,0.044232085399999996,1.5395780700000001,1.99131484,30.296595858668233
39,69,28,5.758,2.5727381199999995,1.37262387,1.8126380100000004,16.446723466134188
40,72,28,5.5569,0.7367931399999992,2.1599063000000003,2.6602005600000003,2.2650312141956728
41,73,28,8.879,0.8368439999999993,3.7282640000000002,4.313892,1.2118638343467292
42,66,29,2.6409000000000002,0.09591440000000073,1.0666335504,1.4783520495999996,443.1959165610896
43,67,29,0.5608,0.09338780188000001,0.141211,0.2963428,321126.6037613926
44,68,29,4.440099999999999,1.0510032159,1.41962997,1.85011185,44.57927676346896
45,69,29,2.6817,0.5185219105999999,0.8891296194000001,1.27404847,246.70085199201276
46,70,29,6.588399999999999,3.494302909999999,1.3290487800000002,1.76504831,64.19992931955888
47,72,29,8.3625,2.81741469406,2.49379723,3.0086062100000004,9.565068121093827
48,73,29,6.606,0.2934939999999995,2.886958,3.4255480000000005,6.059319171733647
49,74,29,9.751,2.1301245,3.5252412,4.0956342999999995,2.35159291664901
50,75,29,8.088700000000001,1.26514047767,1.7798071169999998,2.120214616,1.7658587300480912
51,69,30,0.9098999999999999,6.0000499999999986e-06,0.32159783895,0.5874966141,4882.080018368252
52,71,30,2.8103000000000002,0.31134432000000034,1.04370223,1.4552534499999998,209.4793199370775
53,72,30,0.4428,0.14239848712,0.08053200899999999,0.19491341999999998,241507.1498448125
54,73,30,4.105899999999998,0.14539089499999802,1.742623395,2.2178857100000005,35.34602850177961
55,75,30,5.901700000000002,1.381892860000001,2.0028989900000003,2.5169081500000003,14.715489417067424
56,76,30,3.993600000000001,0.508085388234,1.5009619200000002,1.96513316,8.223361733067094
57,77,30,7.203,1.39783092,2.62464252,3.18052656,3.000805685049044
58,78,30,6.2208000000000006,1.1818994000000007,2.2508633,2.7880373,2.1207617101067764
59,80,30,7.575,1.4183509699999992,2.7974821000000003,3.35916693,0.8106503434755084
60,70,31,1.6519000000000004,0.007267567999999999,0.6420613840000001,0.99678207,1829.9143898635614
61,72,31,3.997600000000001,2.766184516840001,0.47115447646,0.7602610067000002,73231.20027552379
62,73,31,1.5982,0.340602608,0.4432899339999999,0.7466279499999999,25241.392435393303
63,74,31,5.372799999999999,2.9648829359999986,1.002728416,1.405188648,702.881023921103
64,76,31,6.916299999999999,2.258090595999999,2.0688597140000002,2.5893496899999997,44.00219874711338
65,78,31,8.158,2.461095799999999,2.5821753000000003,3.1147289000000002,7.343317758124825
66,80,31,10.312,2.5753519396800004,3.455565,4.220492999999999,2.7411205776890304
67,81,31,8.664,2.261442753997,2.63128554,3.14650872,1.7557598647618684
68,83,31,11.719,0.5753762524799999,2.01843967,2.27569616,0.4444943420978896
69,75,32,1.1772,0.03386674830000014,0.4205943496999999,0.7227389019999999,7165.577729087304
70,77,32,2.7035,1.0821180411000002,0.6392114399,0.982170519,58226.594772262215
71,78,32,0.955,0.27630399999999994,0.22713600000000003,0.45156,7617.429815893727
72,79,32,4.11,0.24459668000000034,1.6920425399999999,2.17336078,27.382351876072526
73,80,32,2.679,0.15456925999999993,1.05027294,1.4741578,42.55950370622442
74,81,32,6.242,2.279115200000001,1.7302028000000003,2.232681999999999,10.96448231075612
75,82,32,4.69,0.9547410898800004,1.3320729569999998,1.736458412,5.7707801635558535
